id,name,address,location_id,latitude,longitude,stars,rating,reviews_count,min_price,distance_to_center,property_type,photos_count,amenities,badges,popularity,popularity2,trending_speed,weights,district_name,nearest_airport,nearest_metro_station,nearest_train_station,nearest_beach
1917221700,,"Олимпийская улица, 16","Сочи, Россия",43.67813,40.279694,0,0.0,0,0,46308,HOTEL,12,[],,24351,0,0.0,0.31807184,Неизвестный район,37340.0,,,1607.0
1910355753,"Семейный отель ""Мария""","Сочинское шоссе, 77/7А","Сочи, Россия",43.894787,39.357674,0,0.0,0,0,45119,HOTEL,24,[],,24349,4,0.0,0.31807184,Сочи - Лазаревский район,68269.0,,3711.0,561.0
1912479309,"Гостевой дом ""КатеринаПлюс""","Сочинское шоссе, 4/1А","Сочи, Россия",43.90121,39.343685,0,0.0,0,0,46393,HOTEL,24,[],,24348,0,0.0,0.31807184,Сочи - Лазаревский район,69560.0,,2390.0,626.0
1915848453,,"Аэродромная улица, 2/23","Сочи, Россия",43.908188,39.340397,0,0.0,0,0,47153,HOTEL,3,[],,24347,0,0.0,0.31807184,Сочи - Лазаревский район,70303.0,,1739.0,1175.0
1915848076,,"Победы улица, 123А","Сочи, Россия",43.91606,39.322334,0,0.0,0,0,48764,HOTEL,11,[],,24346,0,0.0,0.31807184,Сочи - Лазаревский район,71936.0,,152.0,286.0
1907418072,"Отель ""Кавказ""","Янтарная улица, 7/1","Сочи, Россия",43.906757,39.32607,0,0.0,0,0,47791,HOTEL,24,[],,24344,0,0.0,0.31807184,Сочи - Лазаревский район,70986.0,,1017.0,41.0
1303108085,Кронштадт,"ул. Нахимова, д. 16","Сочи, Россия",43.90842,39.326145,0,0.0,0,0,47925,HOTEL,23,[],,24343,1,0.0,0.31807184,Сочи - Лазаревский район,71114.0,,854.0,133.0
1917227685,,"Эстонская улица, 95","Сочи, Россия",43.684364,40.265877,0,0.0,0,0,45383,HOTEL,24,[],,24342,0,0.0,0.31807184,Неизвестный район,37021.0,,,2894.0
1917227314,,"Согласия улица, 8","Сочи, Россия",43.910194,39.340572,0,0.0,0,0,47313,HOTEL,5,[],,24341,0,0.0,0.31807184,Сочи - Лазаревский район,70455.0,,1665.0,1253.0
1917441648,,"Калараша улица, 95А","Сочи, Россия",43.91007,39.335716,0,0.0,0,0,47557,HOTEL,3,[],,24340,0,0.0,0.31807184,Сочи - Лазаревский район,70713.0,,1310.0,896.0
